pair,dimension,spearman,p,n
anthropic--deepseek,Structure,0.6673655013025225,0.07058391427789511,8
anthropic--deepseek,Precision,0.8068423483216582,0.015507500818659248,8
anthropic--deepseek,Understandability,0.5673665146135801,0.14243824996088114,8
anthropic--deepseek,Objectivity,0.8282687688757238,0.011086798887299262,8
anthropic--deepseek,Usefulness,0.8714893406611902,0.0048076278281173465,8
anthropic--deepseek,Language,0.8207826816681234,0.012525677593653825,8
anthropic--deepseek,Factual Accuracy,0.9807692307692311,1.752447222863671e-05,8
anthropic--gemini,Structure,0.8930994246322642,0.0028144512357498232,8
anthropic--gemini,Precision,0.802564050715867,0.016504016530199193,8
anthropic--gemini,Understandability,0.8437131336253166,0.008459818790781202,8
anthropic--gemini,Objectivity,0.8345229603962802,0.009968635591737607,8
anthropic--gemini,Usefulness,0.8101265822784811,0.014768781948478015,8
anthropic--gemini,Language,0.8207826816681234,0.012525677593653825,8
anthropic--gemini,Factual Accuracy,0.6234292001593574,0.09863520203565747,8
deepseek--gemini,Structure,0.40821289372469177,0.31537968730378807,8
deepseek--gemini,Precision,0.8187645924656598,0.012932697631902659,8
deepseek--gemini,Understandability,0.5493703305977612,0.1584205402240307,8
deepseek--gemini,Objectivity,0.7225441268328878,0.04290259165333298,8
deepseek--gemini,Usefulness,0.8714893406611902,0.0048076278281173465,8
deepseek--gemini,Language,0.6315789473684211,0.09301909980174458,8
deepseek--gemini,Factual Accuracy,0.6494054168326641,0.0813926565347379,8
