# bert_score_f  

| Perturbation Type | Variation | Score | Change (%) |  
|--------------------|-----------|-------|------------|  
| Verb Lemmatization | 0.000     | 0.545 | 0.0%       |  
|                    | 0.500     | 0.527 | -3.3%      |  
|                    | 1.000     | 0.511 | -6.3%      |  
| Random Word Drop   | 0.000     | 0.545 | 0.0%       |  
|                    | 0.050     | 0.494 | -9.4%      |  
|                    | 0.100     | 0.451 | -17.3%     |  
|                    | 0.150     | 0.404 | -25.9%     |  
|                    | 0.200     | 0.364 | -33.3%     |  
|                    | 0.250     | 0.321 | -41.0%     |  
|                    | 0.300     | 0.274 | -49.7%     |  
|                    | 0.350     | 0.235 | -56.8%     |  
|                    | 0.400     | 0.195 | -64.3%     |  
|                    | 0.450     | 0.154 | -71.8%     |  
|                    | 0.550     | 0.078 | -85.6%     |  
| Noise Punctuation  | 0.000     | 0.545 | 0.0%       |  
|                    | 0.500     | 0.491 | -9.9%      |  
|                    | 1.000     | 0.441 | -19.2%     |  
| Sentence Middle Swap | 0.000  | 0.545 | 0.0%       |  
|                    | 0.500     | 0.508 | -6.8%      |  
| Remove Prepositions | 0.000    | 0.545 | 0.0%       |  
|                    | 0.400     | 0.518 | -4.9%      |  
|                    | 0.700     | 0.499 | -8.5%      |  
|                    | 1.000     | 0.477 | -12.4%     |  
| Remove Stop Words  | 0.000     | 0.545 | 0.0%       |  
|                    | 0.100     | 0.506 | -7.1%      |  
|                    | 0.200     | 0.471 | -13.6%     |  
|                    | 0.300     | 0.435 | -20.1%     |  
|                    | 0.400     | 0.399 | -26.9%     |  
|                    | 0.500     | 0.362 | -33.6%     |  
|                    | 0.600     | 0.329 | -39.7%     |  
| Random Word Swap   | 0.000     | 0.545 | 0.0%       |  
|                    | 0.050     | 0.473 | -13.2%     |  
|                    | 0.150     | 0.390 | -28.4%     |  
|                    | 0.300     | 0.311 | -42.9%     |  
|                    | 0.600     | 0.223 | -59.1%     |  
| Truncate (End)     | 0.000     | 0.545 | 0.0%       |  
|                    | 0.100     | 0.513 | -5.9%      |  
|                    | 0.200     | 0.488 | -10.5%     |  
|                    | 0.300     | 0.464 | -14.9%     |  
|                    | 0.400     | 0.434 | -20.4%     |  
|                    | 0.500     | 0.399 | -26.8%     |  
| Remove Articles    | 0.000     | 0.545 | 0.0%       |  
|                    | 0.500     | 0.529 | -2.9%      |  
|                    | 1.000     | 0.513 | -5.8%      |  
| Random Token Repetition | 0.000 | 0.545 | 0.0%       |  
|                    | 0.050     | 0.504 | -7.5%      |  
|                    | 0.100     | 0.472 | -13.5%     |  
|                    | 0.150     | 0.439 | -19.5%     |  
|                    | 0.200     | 0.409 | -25.0%     |  
|                    | 0.250     | 0.378 | -30.7%     |  
|                    | 0.300     | 0.350 | -35.8%     |  
|                    | 0.350     | 0.324 | -40.6%     |  
|                    | 0.400     | 0.298 | -45.3%     |  
|                    | 0.450     | 0.274 | -49.7%     |  
|                    | 0.550     | 0.229 | -58.0%     |  

## Sensitivity to the Perturbation  

| Perturbation Type       | Monotonous Decrease | Superlinear Decrease | Change Rate |  
|-------------------------|---------------------|----------------------|-------------|  
| Verb Lemmatization      | yes                 | no                   | moderate    |  
| Random Word Drop        | yes                 | yes                  | high        |  
