bartscore-avg-f, bert_score_f, rouge-2, rouge-L, UniEval-coherence(sum), UniEval-consistency(sum), UniEval-fluency(sum), UniEval-overall(sum), UniEval-relevance(sum)

| Metric | Ref | Inj-1 | ΔInj-1(%) | Inj-2 | ΔInj-2(%) |
| --- | --- | --- | --- | --- | --- |
| bartscore-avg-f | -6.064 | -8.247 | -36.0 | -9.391 | -54.9 |
| bert_score_f | 0.224 | 0.001 | -99.6 | -0.016 | -107.0 |
| rouge-2 | 0.171 | 0.016 | -90.9 | 0.014 | -91.6 |
| rouge-L | 0.286 | 0.127 | -55.8 | 0.099 | -65.6 |
| UniEval-coherence(sum) | 0.898 | 0.904 | +0.7 | 0.778 | -13.4 |
| UniEval-consistency(sum) | 0.860 | 0.858 | -0.3 | 0.756 | -12.0 |
| UniEval-fluency(sum) | 0.920 | 0.960 | +4.4 | 0.962 | +4.6 |
| UniEval-overall(sum) | 0.865 | 0.905 | +4.7 | 0.838 | -3.0 |
| UniEval-relevance(sum) | 0.781 | 0.901 | +15.3 | 0.857 | +9.7 |

Based on the results, we recommend using the bert_score_f metric, as it exhibits the highest change rates, with a -99.6% change for Inj-1 and -107.0% change for Inj-2, indicating a strong ability to distinguish between gold summaries and injections. Additionally, rouge-2 and rouge-L also show high change rates, with -90.9% and -91.6% for Inj-1 and Inj-2, respectively, making them suitable alternatives. On the other hand, we would not recommend using UniEval-coherence(sum), UniEval-consistency(sum), and UniEval-fluency(sum), as they exhibit very low change rates, with some even showing positive changes, indicating a lack of ability to effectively penalize injections. Specifically, UniEval-coherence(sum) and UniEval-consistency(sum) show change rates of less than 1%, and UniEval-fluency(sum) shows a positive change rate, making them less effective in distinguishing between gold summaries and injections.
