a_1,a_1_1,a_1_2,a_1_3,a_2,a_2_1,a_2_2,a_2_3,a_2_4,change_match,change_n,dataset,metric,mono_match,mono_n,rec_cells_match,rec_cells_n,rec_match,rec_n,size,super_match,super_n,test
,,,,,,,,,10,10,wiki,gpt_ppl,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,wiki,mauve_gpt2,10,10,,,1,1,single,5,10,noised_fluency
,,,,,,,,,10,10,wiki,mauve_roberta,10,10,,,1,1,single,5,10,noised_fluency
,,,,,,,,,10,10,wiki,mauve_roberta_large,10,10,,,0,1,single,3,10,noised_fluency
,,,,,,,,,10,10,sum,bart_score_avg_f,10,10,,,1,1,single,8,10,noised_fluency
,,,,,,,,,10,10,sum,bert_score_f,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,rouge2_f,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,rougeL_f,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,unieval_coherence,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,unieval_consistency,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,unieval_fluency,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,unieval_relevance,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,sum,unieval_overall,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,wmt,bart_score_wmt,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,9,10,wmt,bert_score_f_wmt,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,wmt,bleu_wmt,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,wmt,bleurt_wmt,10,10,,,1,1,single,9,10,noised_fluency
,,,,,,,,,10,10,tedmt,bart_score_ted,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,tedmt,bert_score_f_ted,10,10,,,1,1,single,9,10,noised_fluency
,,,,,,,,,10,10,tedmt,bleu_ted,10,10,,,1,1,single,10,10,noised_fluency
,,,,,,,,,10,10,tedmt,bleurt_ted,10,10,,,1,1,single,9,10,noised_fluency
,,,,,,,,,,,wiki,(all),,,22,40,,,compare,,,noised_fluency
,,,,,,,,,,,sum,(all),,,90,90,,,compare,,,noised_fluency
,,,,,,,,,,,wmt,(all),,,39,40,,,compare,,,noised_fluency
,,,,,,,,,,,tedmt,(all),,,40,40,,,compare,,,noised_fluency
,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,wiki,mauve_gpt2_base,,,,,,,single,,,positioned_error
,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,wiki,mauve_roberta_base,,,,,,,single,,,positioned_error
,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,wiki,mauve_roberta_large,,,,,,,single,,,positioned_error
1.0,,,,1.0,,,,,,,wiki,(all),,,,,,,compare,,,positioned_error
