pair,dimension,spearman,p,n
anthropic--human,Structure,0.16050605945555832,0.7041799266563076,8
anthropic--human,Precision,-0.1275729766687687,0.7633832884594558,8
anthropic--human,Understandability,0.06757373783994859,0.8736844080516705,8
anthropic--human,Objectivity,0.37820512820512825,0.35558623930887373,8
anthropic--human,Usefulness,-0.14649978703543604,0.7292178511232769,8
anthropic--human,Language,-0.225,0.5921470373535157,8
anthropic--human,Factual Accuracy,0.33793365770129524,0.4129613863366001,8
deepseek--human,Structure,0.3425133612081153,0.40624732191900825,8
deepseek--human,Precision,0.09788002281473555,0.8176437625274797,8
deepseek--human,Understandability,0.30228886938926935,0.46679022538417053,8
deepseek--human,Objectivity,0.23191525528520263,0.5804991767055638,8
deepseek--human,Usefulness,0.17541160386140583,0.6777875665993163,8
deepseek--human,Language,-0.15389675281277315,0.7159673696700107,8
deepseek--human,Factual Accuracy,0.28492445649324893,0.49397587246607927,8
gemini--human,Structure,0.19879227818817055,0.6369679915385356,8
gemini--human,Precision,-0.17831687187954706,0.6726756641419286,8
gemini--human,Understandability,-0.34483578691765326,0.40286067878792187,8
gemini--human,Objectivity,-0.007132674875181883,0.9866266881961074,8
gemini--human,Usefulness,0.21019534661606043,0.6173384431529811,8
gemini--human,Language,-0.5899375524489637,0.12371385421440717,8
gemini--human,Factual Accuracy,-0.05370216135410547,0.8995018710353081,8
