**[metrics]**  

---

## Table  

| Metric | Perturbation | Variation | Score | Edit Ratio | Change vs Gold |
|--------|--------------|-----------|-------|------------|----------------|
| **unieval_overall** | – (gold) | 0 % | 0.865 | 0.000 | 0.0 % |
|  | Verb‑randomisation | 50 % | 0.820 | 0.052 | –5.1 % |
|  | Verb‑randomisation | 100 % | 0.786 | 0.102 | –9.1 % |
|  | Word‑drop | 5 % | 0.633 | 0.061 | –26.7 % |
|  | Word‑drop | 10 % | 0.500 | 0.111 | –42.2 % |
|  | Word‑drop | 15 % | 0.417 | 0.163 | –51.8 % |
|  | Word‑drop | 20 % | 0.329 | 0.210 | –61.9 % |
|  | Word‑drop | 25 % | 0.273 | 0.260 | –68.4 % |
|  | Word‑drop | 30 % | 0.223 | 0.311 | –74.2 % |
|  | Word‑drop | 35 % | 0.189 | 0.361 | –78.2 % |
|  | Word‑drop | 40 % | 0.163 | 0.408 | –81.1 % |
|  | Word‑drop | 45 % | 0.143 | 0.461 | –83.5 % |
|  | Word‑drop | 50 % | 0.126 | 0.507 | –85.5 % |
|  | Punct‑noise | 50 % | 0.744 | 0.052 | –13.9 % |
|  | Punct‑noise | 100 % | 0.657 | 0.105 | –24.0 % |
|  | SVO‑swap (1 sent.) | 1 | 0.567 | 0.145 | –34.5 % |
|  | SVO‑swap (2 sent.) | 2 | 0.425 | 0.255 | –50.8 % |
|  | SVO‑swap (3 sent.) | 3 | 0.324 | 0.321 | –62.5 % |
|  | Prep‑drop | 40 % | 0.732 | 0.054 | –15.3 % |
|  | Prep‑drop | 70 % | 0.646 | 0.093 | –25.3 % |
|  | Prep‑drop | 100 % | 0.568 | 0.135 | –34.3 % |
|  | Stop‑word‑drop | 10 % | 0.796 | 0.044 | –8.0 % |
|  | Stop‑word‑drop | 20 % | 0.736 | 0.088 | –14.9 % |
|  | Stop‑word‑drop | 30 % | 0.679 | 0.130 | –21.5 % |
|  | Stop‑word‑drop | 40 % | 0.626 | 0.175 | –27.6 % |
|  | Stop‑word‑drop | 50 % | 0.576 | 0.219 | –33.4 % |
|  | Stop‑word‑drop | 60 % | 0.530 | 0.263 | –38.7 % |
|  | Local‑swap | 5 % | 0.532 | 0.056 | –38.4 % |
|  | Local‑swap | 15 % | 0.339 | 0.117 | –60.8 % |
|  | Local‑swap | 30 % | 0.235 | 0.169 | –72.8 % |
|  | Local‑swap | 60 % | 0.176 | 0.222 | –79.6 % |
|  | Truncate (end) | 10 % | 0.673 | 0.114 | –22.2 % |
|  | Truncate (end) | 20 % | 0.618 | 0.215 | –28.6 % |
|  | Truncate (end) | 30 % | 0.644 | 0.312 | –25.5 % |
|  | Truncate (end) | 40 % | 0.607 | 0.413 | –29.8 % |
|  | Truncate (end) | 50 % | 0.610 | 0.515 | –29.4 % |
|  | Article‑drop | 50 % | 0.857 | 0.039 | –0.9 % |
|  | Article‑drop | 100 % | 0.850 | 0.081 | –1.7 % |
|  | Token‑repeat | 5 % | 0.629 | 0.061 | –27.2 % |
|  | Token‑repeat | 10 % | 0.524 | 0.111 | –39.4 % |
|  | Token‑repeat | 15 % | 0.433 | 0.163 | –49.9 % |
|  | Token‑repeat | 20 % | 0.395 | 0.210 | –54.3 % |
|  | Token‑repeat | 25 % | 0.356 | 0.260 | –58.9 % |
|  | Token‑repeat | 30 % | 0.330 | 0.311 | –61.9 % |
|  | Token‑repeat | 35 % | 0.311 | 0.361 | –64.0 % |
|  | Token‑repeat | 40 % | 0.306 | 0.408 | –64.6 % |
|  | Token‑repeat | 45 % | 0.297 | 0.461 | –65.6 % |
|  | Token‑repeat | 50 % | 0.284 | 0.507 | –67.2 % |
| **unieval_fluency** | – (gold) | 0 % | 0.920 | 0.000 | 0.0 % |
|  | Verb‑randomisation | 50 % | 0.842 | 0.052 | –8.4 % |
|  | Verb‑randomisation | 100 % | 0.776 | 0.102 | –15.6 % |
|  | Word‑drop | 5 % | 0.661 | 0.061 | –28.1 % |
|  | Word‑drop | 10 % | 0.511 | 0.111 | –44.5 % |
|  | Word‑drop | 15 % | 0.405 | 0.163 | –55.9 % |
|  | Word‑drop | 20 % | 0.316 | 0.210 | –65.7 % |
|  | Word‑drop | 25 % | 0.223 | 0.260 | –75.7 % |
|  | Word‑drop | 30 % | 0.160 | 0.311 | –82.6 % |
|  | Word‑drop | 35 % | 0.139 | 0.361 | –84.9 % |
|  | Word‑drop | 40 % | 0.101 | 0.408 | –89.0 % |
|  | Word‑drop | 45 % | 0.080 | 0.461 | –91.3 % |
|  | Word‑drop | 50 % | 0.069 | 0.507 | –92.5 % |
|  | Punct‑noise | 50 % | 0.703 | 0.052 | –23.6 % |
|  | Punct‑noise | 100 % | 0.529 | 0.105 | –42.4 % |
|  | SVO‑swap (1 sent.) | 1 | 0.685 | 0.145 | –25.5 % |
|  | SVO‑swap (2 sent.) | 2 | 0.458 | 0.255 | –50.2 % |
|  | SVO‑swap (3 sent.) | 3 | 0.272 | 0.321 | –70.5 % |
|  | Prep‑drop | 40 % | 0.702 | 0.054 | –23.7 % |
|  | Prep‑drop | 70 % | 0.557 | 0.093 | –39.4 % |
|  | Prep‑drop | 100 % | 0.428 | 0.135 | –53.5 % |
|  | Stop‑word‑drop | 10 % | 0.807 | 0.044 | –12.2 % |
|  | Stop‑word‑drop | 20 % | 0.711 | 0.088 | –22.7 % |
|  | Stop‑word‑drop | 30 % | 0.624 | 0.130 | –32.2 % |
|  | Stop‑word‑drop | 40 % | 0.543 | 0.175 | –40.9 % |
|  | Stop‑word‑drop | 50 % | 0.468 | 0.219 | –49.1 % |
|  | Stop‑word‑drop | 60 % | 0.409 | 0.263 | –55.6 % |
|  | Local‑swap | 5 % | 0.513 | 0.056 | –44.2 % |
|  | Local‑swap | 15 % | 0.255 | 0.117 | –72.3 % |
|  | Local‑swap | 30 % | 0.106 | 0.169 | –88.5 % |
|  | Local‑swap | 60 % | 0.054 | 0.222 | –94.1 % |
|  | Truncate (end) | 10 % | 0.741 | 0.114 | –19.5 % |
|  | Truncate (end) | 20 % | 0.713 | 0.215 | –22.5 % |
|  | Truncate (end) | 30 % | 0.715 | 0.312 | –22.2 % |
|  | Truncate (end) | 40 % | 0.670 | 0.413 | –27.2 % |
|  | Truncate (end) | 50 % | 0.660 | 0.515 | –28.2 % |
|  | Article‑drop | 50 % | 0.910 | 0.039 | –1.1 % |
|  | Article‑drop | 100 % | 0.899 | 0.081 | –2.3 % |
|  | Token‑repeat | 5 % | 0.583 | 0.061 | –36.6 % |
|  | Token‑repeat | 10 % | 0.429 | 0.111 | –53.4 % |
|  | Token‑repeat | 15 % | 0.303 | 0.163 | –67.0 % |
|  | Token‑repeat | 20 % | 0.239 | 0.210 | –74.1 % |
|  | Token‑repeat | 25 % | 0.186 | 0.260 | –79.8 % |
|  | Token‑repeat | 30 % | 0.144 | 0.311 | –84.3 % |
|  | Token‑repeat | 35 % | 0.117 | 0.361 | –87.3 % |
|  | Token‑repeat | 40 % | 0.098 | 0.408 | –89.3 % |
|  | Token‑repeat | 45 % | 0.087 | 0.461 | –90.5 % |
|  | Token‑repeat | 50 % | 0.075 | 0.507 | –91.8 % |
