**bert_score_f, rougeL‑f, rouge2‑f, bart_score_avg_f – Evaluation Report**

---

## Table  

| Metric | Perturbation type | Variation ( % ) | Edit ratio | Score | % change vs. gold |
|--------|-------------------|----------------|-----------|-------|-------------------|
| **bert_score_f** | lemmatize (verb randomisation) | 0 % (gold) | 0.000 | 0.224 | 0.0 % |
| | | 50 % | 0.052 | 0.209 | **‑6.4 %** |
| | | 100 % | 0.102 | 0.197 | **‑12.1 %** |
| | random‑word‑drop (word removal) | 5 % | 0.061 | 0.199 | **‑11.0 %** |
| | | 10 % | 0.111 | 0.182 | **‑18.6 %** |
| | | 15 % | 0.163 | 0.164 | **‑26.5 %** |
| | | 20 % | 0.210 | 0.146 | **‑34.6 %** |
| | | 25 % | 0.260 | 0.131 | **‑41.5 %** |
| | | 30 % | 0.311 | 0.115 | **‑48.5 %** |
| | | 35 % | 0.361 | 0.099 | **‑55.8 %** |
| | | 40 % | 0.408 | 0.082 | **‑63.1 %** |
| | | 45 % | 0.461 | 0.065 | **‑70.9 %** |
| | | 50 % | 0.507 | 0.054 | **‑75.8 %** |
| | noisepunct (punctuation noise) | 50 % | 0.052 | 0.207 | **‑7.6 %** |
| | | 100 % | 0.105 | 0.187 | **‑16.3 %** |
| | sentencemiddleswap (SVO swap) | 1 sentence | 0.145 | 0.197 | **‑12.1 %** |
| | | 2 sentences | 0.255 | 0.172 | **‑23.2 %** |
| | | 3 sentences | 0.321 | 0.152 | **‑32.0 %** |
| | removepreposition (preposition removal) | 40 % | 0.054 | 0.206 | **‑8.1 %** |
| | | 70 % | 0.093 | 0.193 | **‑13.9 %** |
| | | 100 % | 0.135 | 0.179 | **‑20.1 %** |
| | removestopwords | 10 % | 0.044 | 0.211 | **‑5.6 %** |
| | | 20 % | 0.088 | 0.200 | **‑10.4 %** |
| | | 30 % | 0.130 | 0.190 | **‑14.8 %** |
| | | 40 % | 0.175 | 0.181 | **‑19.2 %** |
| | | 50 % | 0.219 | 0.170 | **‑24.1 %** |
| | | 60 % | 0.263 | 0.159 | **‑28.7 %** |
| | randomlocalswap (local word swap) | 5 % | 0.056 | 0.186 | **‑16.9 %** |
| | | 15 % | 0.117 | 0.147 | **‑34.1 %** |
| | | 30 % | 0.169 | 0.110 | **‑50.8 %** |
| | | 60 % | 0.222 | 0.073 | **‑67.3 %** |
| | truncate (end‑removal) | 10 % | 0.114 | 0.224 | **+0.3 %** |
| | | 20 % | 0.215 | 0.227 | **+1.4 %** |
| | | 30 % | 0.312 | 0.230 | **+3.0 %** |
| | | 40 % | 0.413 | 0.231 | **+3.3 %** |
| | | 50 % | 0.515 | 0.229 | **+2.4 %** |
| | removearticle | 50 % | 0.039 | 0.215 | **‑3.8 %** |
| | | 100 % | 0.081 | 0.206 | **‑8.0 %** |
| | randomtokenrep (word repetition) | 5 % | 0.061 | 0.201 | **‑10.0 %** |
| | | 10 % | 0.111 | 0.183 | **‑18.0 %** |
| | | 15 % | 0.163 | 0.167 | **‑25.4 %** |
| | | 20 % | 0.210 | 0.152 | **‑32.2 %** |
| | | 25 % | 0.260 | 0.136 | **‑39.3 %** |
| | | 30 % | 0.311 | 0.122 | **‑45.4 %** |
| | | 35 % | 0.361 | 0.108 | **‑51.6 %** |
| | | 40 % | 0.408 | 0.096 | **‑57.2 %** |
| | | 45 % | 0.461 | 0.082 | **‑63.3 %** |
| | | 50 % | 0.507 | 0.069 | **‑69.1 %** |
| **rougeL‑f** | lemmatize | 0 % | 0.000 | 0.286 | 0.0 % |
| | | 50 % | 0.052 | 0.285 | **‑0.5 %** |
| | | 100 % | 0.102 | 0.284 | **‑0.8 %** |
| | random‑word‑drop | 5 % | 0.061 | 0.282 | **‑1.6 %** |
| | | 10 % | 0.111 | 0.280 | **‑2.1 %** |
| | | 15 % | 0.163 | 0.274 | **‑4.1 %** |
| | | 20 % | 0.210 | 0.271 | **‑5.3 %** |
| | | 25 % | 0.260 | 0.267 | **‑6.8 %** |
| | | 30 % | 0.311 | 0.262 | **‑8.4 %** |
| | | 35 % | 0.361 | 0.258 | **‑10.0 %** |
| | | 40 % | 0.408 | 0.251 | **‑12.2 %** |
| | | 45 % | 0.461 | 0.243 | **‑14.9 %** |
| | | 50 % | 0.507 | 0.237 | **‑17.3 %** |
| | noisepunct | 50 % | 0.052 | 0.286 | **0.0 %** |
| | | 100 % | 0.105 | 0.286 | **0.0 %** |
| | sentencemiddleswap | 1 sentence | 0.145 | 0.277 | **‑3.3 %** |
| | | 2 sentences | 0.255 | 0.267 | **‑6.7 %** |
| | | 3 sentences | 0.321 | 0.259 | **‑9.5 %** |
| | removepreposition | 40 % | 0.054 | 0.283 | **‑1.2 %** |
| | | 70 % | 0.093 | 0.279 | **‑2.5 %** |
| | | 100 % | 0.135 | 0.274 | **‑4.2 %** |
| | removestopwords | 10 % | 0.044 | 0.283 | **‑1.1 %** |
| | | 20 % | 0.088 | 0.281 | **‑1.8 %** |
| | | 30 % | 0.130 | 0.278 | **‑2.9 %** |
| | | 40 % | 0.175 | 0.276 | **‑3.6 %** |
| | | 50 % | 0.219 | 0.272 | **‑5.0 %** |
| | | 60 % | 0.263 | 0.268 | **‑6.3 %** |
| | randomlocalswap | 5 % | 0.056 | 0.280 | **‑2.2 %** |
| | | 15 % | 0.117 | 0.273 | **‑4.7 %** |
| | | 30 % | 0.169 | 0.266 | **‑7.2 %** |
| | | 60 % | 0.222 | 0.257 | **‑10.3 %** |
| | truncate (end‑removal) | 10 % | 0.114 | 0.290 | **+1.3 %** |
| | | 20 % | 0.215 | 0.295 | **+3.2 %** |
| | | 30 % | 0.312 | 0.298 | **+4.1 %** |
| | | 40 % | 0.413 | 0.300 | **+4.7 %** |
| | | 50 % | 0.515 | 0.302 | **+5.4 %** |
| | removearticle | 50 % | 0.039 | 0.280 | **‑2.3 %** |
| | | 100 % | 0.081 | 0.271 | **‑5.4 %** |
| | randomtokenrep | 5 % | 0.061 | 0.277 | **‑3.0 %** |
| | | 10 % | 0.111 | 0.272 | **‑5.1 %** |
| | | 15 % | 0.163 | 0.265 | **‑7.4 %** |
| | | 20 % | 0.210 | 0.259 | **‑9.4 %** |
| | | 25 % | 0.260 | 0.254 | **‑11.2 %** |
| | | 30 % | 0.311 | 0.248 | **‑13.4 %** |
| | | 35 % | 0.361 | 0.243 | **‑15.0 %** |
| | | 40 % | 0.408 | 0.239 | **‑16.5 %** |
| | | 45 % | 0.461 | 0.234 | **‑18.2 %** |
| | | 50 % | 0.507 | 0.229 | **‑20.0 %** |
| **rouge2‑f** | lemmatize | 0 % | 0.000 | 0.171 | 0.0 % |
| | | 50 % | 0.052 | 0.169 | **‑1.2 %** |
| | | 100 % | 0.102 | 0.168 | **‑1.8 %** |
| | random‑word‑drop | 5 % | 0.061 | 0.160 | **‑6.3 %** |
