annotator,timestamp,card_id,dimension,score,condition,metric,source_file
A1,26.04.2026 15:37:37,3,Structure,4,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Precision,4,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Understandability,4,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Objectivity,2,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Usefulness,2,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Language,4,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,3,Factual Accuracy,5,FS,ROUGE-L,InjTest_FS_1.docx
A1,26.04.2026 15:37:37,6,Factual Accuracy,4,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Understandability,3,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Objectivity,4,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Precision,4,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Usefulness,2,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Structure,3,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,6,Language,2,FS,ROUGE-L,InjTest_FS_2.docx
A1,26.04.2026 15:37:37,7,Language,5,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Usefulness,2,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Factual Accuracy,5,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Understandability,5,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Structure,4,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Objectivity,3,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,7,Precision,4,FS,ROUGE-L,InjTest_FS_3.docx
A1,26.04.2026 15:37:37,8,Precision,3,FS,ROUGE-L,InjTest_FS_4.docx
A1,26.04.2026 15:37:37,8,Language,5,FS,ROUGE-L,InjTest_FS_4.docx
A1,26.04.2026 15:37:37,8,Structure,2,FS,ROUGE-L,InjTest_FS_4.docx
