**bert_score_f, bart_score, bleu, bleurt – Evaluation Report**

---

### Table of Results  

| Metric | Perturbation Type | Variation | Score | Edit Ratio | % Change vs. Gold |
|--------|-------------------|-----------|-------|------------|-------------------|
| **bert_score_f** | Verb Lemmatization | 0 % (gold) | 0.545 | 0.000 | 0.0 % |
|  |  | 50 % verbs randomised | 0.527 | 0.034 | –3.3 % |
|  |  | 100 % verbs randomised | 0.511 | 0.065 | –6.3 % |
|  | Word‑Removal | 5 % | 0.494 | 0.056 | –9.4 % |
|  |  | 10 % | 0.451 | 0.105 | –17.3 % |
|  |  | 15 % | 0.404 | 0.156 | –25.9 % |
|  |  | 20 % | 0.364 | 0.205 | –33.3 % |
|  |  | 25 % | 0.321 | 0.254 | –41.0 % |
|  |  | 30 % | 0.274 | 0.306 | –49.7 % |
|  |  | 35 % | 0.235 | 0.356 | –56.8 % |
|  |  | 40 % | 0.195 | 0.405 | –64.3 % |
|  |  | 45 % | 0.154 | 0.456 | –71.8 % |
|  |  | 55 % | 0.078 | 0.556 | –85.6 % |
|  | Punct‑Noise | 50 % | 0.491 | 0.073 | –9.9 % |
|  |  | 100 % | 0.441 | 0.145 | –19.2 % |
|  | Sentence‑Middle‑Swap | 1 sentence | 0.508 | 0.073 | –6.8 % |
|  | Preposition‑Removal | 40 % | 0.518 | 0.041 | –4.9 % |
|  |  | 70 % | 0.499 | 0.072 | –8.5 % |
|  |  | 100 % | 0.477 | 0.104 | –12.4 % |
|  | Stop‑Word‑Removal | 10 % | 0.506 | 0.069 | –7.1 % |
|  |  | 20 % | 0.471 | 0.139 | –13.6 % |
|  |  | 30 % | 0.435 | 0.208 | –20.1 % |
|  |  | 40 % | 0.399 | 0.278 | –26.9 % |
|  |  | 50 % | 0.362 | 0.346 | –33.6 % |
|  |  | 60 % | 0.329 | 0.412 | –39.7 % |
|  | Random‑Local‑Swap | 5 % | 0.473 | 0.050 | –13.2 % |
|  |  | 15 % | 0.390 | 0.111 | –28.4 % |
|  |  | 30 % | 0.311 | 0.165 | –42.9 % |
|  |  | 60 % | 0.223 | 0.217 | –59.1 % |
|  | Truncate (end) | 10 % | 0.513 | 0.105 | –5.9 % |
|  |  | 20 % | 0.488 | 0.206 | –10.5 % |
|  |  | 30 % | 0.464 | 0.305 | –14.9 % |
|  |  | 40 % | 0.434 | 0.406 | –20.4 % |
|  |  | 50 % | 0.399 | 0.508 | –26.8 % |
|  | Article‑Removal | 50 % | 0.529 | 0.040 | –2.9 % |
|  |  | 100 % | 0.513 | 0.080 | –5.8 % |
|  | Token‑Repetition | 5 % | 0.504 | 0.056 | –7.5 % |
|  |  | 10 % | 0.472 | 0.105 | –13.5 % |
|  |  | 15 % | 0.439 | 0.156 | –19.5 % |
|  |  | 20 % | 0.409 | 0.205 | –25.0 % |
|  |  | 25 % | 0.378 | 0.254 | –30.7 % |
|  |  | 30 % | 0.350 | 0.306 | –35.8 % |
|  |  | 35 % | 0.324 | 0.356 | –40.6 % |
|  |  | 40 % | 0.298 | 0.405 | –45.3 % |
|  |  | 45 % | 0.274 | 0.456 | –49.7 % |
|  |  | 55 % | 0.229 | 0.556 | –58.0 % |
| **bart_score** | Verb Lemmatization | 0 % | –3.734 | 0.000 | 0.0 % |
|  |  | 50 % | –3.826 | 0.034 | –2.4 % |
|  |  | 100 % | –3.914 | 0.065 | –4.8 % |
|  | Word‑Removal | 5 % | –3.956 | 0.056 | –5.9 % |
|  |  | 10 % | –4.171 | 0.105 | –11.7 % |
|  |  | 15 % | –4.413 | 0.156 | –18.2 % |
|  |  | 20 % | –4.657 | 0.205 | –24.7 % |
|  |  | 25 % | –4.925 | 0.254 | –31.9 % |
|  |  | 30 % | –5.253 | 0.306 | –40.7 % |
|  |  | 35 % | –5.572 | 0.356 | –49.2 % |
|  |  | 40 % | –5.923 | 0.405 | –58.6 % |
|  |  | 45 % | –6.316 | 0.456 | –69.1 % |
|  |  | 55 % | –7.084 | 0.556 | –89.7 % |
|  | Punct‑Noise | 50 % | –4.052 | 0.073 | –8.5 % |
|  |  | 100 % | –4.299 | 0.145 | –15.1 % |
|  | Sentence‑Middle‑Swap | 1 sentence | –3.857 | 0.073 | –3.3 % |
|  | Preposition‑Removal | 40 % | –3.892 | 0.041 | –4.2 % |
|  |  | 70 % | –4.036 | 0.072 | –8.1 % |
|  |  | 100 % | –4.203 | 0.104 | –12.6 % |
|  | Stop‑Word‑Removal | 10 % | –3.944 | 0.069 | –5.6 % |
|  |  | 20 % | –4.183 | 0.139 | –12.0 % |
|  |  | 30 % | –4.445 | 0.208 | –19.0 % |
|  |  | 40 % | –4.752 | 0.278 | –27.2 % |
|  |  | 50 % | –5.083 | 0.346 | –36.1 % |
|  |  | 60 % | –5.453 | 0.412 | –46.0 % |
|  | Random‑Local‑Swap | 5 % | –4.126 | 0.050 | –10.5 % |
|  |  | 15 % | –4.641 | 0.111 | –24.3 % |
|  |  | 30 % | –5.153 | 0.165 | –38.0 % |
