**mauve‑roberta‑large mauve‑gpt2 mauve‑roberta gpt‑ppl**

---

### Table  

| Metric | Perturbation (type) | Variation | Score | Edit ratio | Change % (vs. gold) |
|--------|--------------------|-----------|-------|------------|----------------------|
| mauve‑roberta‑large | lemmatize (verb randomisation) | 0 % | 0.971 | 0.000 | 0.0 % |
|  |  | 50 % | 0.865 | 0.045 | –10.9 % |
|  |  | 100 % | 0.244 | 0.090 | –74.9 % |
|  | random‑word‑drop (words removed) | 5 % | 0.710 | 0.053 | –26.9 % |
|  |  | 10 % | 0.231 | 0.103 | –76.2 % |
|  |  | 15 % | 0.052 | 0.153 | –94.7 % |
|  |  | 20 % | 0.021 | 0.202 | –97.8 % |
|  |  | 25 % | 0.011 | 0.252 | –98.9 % |
|  |  | 30 % | 0.007 | 0.303 | –99.2 % |
|  |  | 35 % | 0.006 | 0.353 | –99.3 % |
|  |  | 40 % | 0.006 | 0.402 | –99.4 % |
|  |  | 45 % | 0.005 | 0.453 | –99.5 % |
|  |  | 50 % | 0.005 | 0.501 | –99.5 % |
|  | noisepunct (punctuation noise) | 50 % | 0.089 | 0.056 | –90.8 % |
|  |  | 100 % | 0.009 | 0.111 | –99.0 % |
|  | sentencemiddleswap (SVO swap) | 1 sentence | 0.693 | 0.072 | –28.6 % |
|  |  | 2 sentences | 0.292 | 0.134 | –69.9 % |
|  |  | 3 sentences | 0.106 | 0.191 | –89.1 % |
|  | removepreposition (preposition removal) | 40 % | 0.868 | 0.057 | –10.6 % |
|  |  | 70 % | 0.446 | 0.100 | –54.1 % |
|  |  | 100 % | 0.085 | 0.142 | –91.2 % |
|  | removestopwords | 10 % | 0.905 | 0.049 | –6.7 % |
|  |  | 20 % | 0.601 | 0.097 | –38.1 % |
|  |  | 30 % | 0.192 | 0.146 | –80.2 % |
|  |  | 40 % | 0.060 | 0.194 | –93.9 % |
|  |  | 50 % | 0.027 | 0.242 | –97.2 % |
|  |  | 60 % | 0.020 | 0.290 | –98.0 % |
|  | randomlocalswap (local word swap) | 5 % | 0.343 | 0.047 | –64.7 % |
|  |  | 15 % | 0.012 | 0.109 | –98.7 % |
|  |  | 30 % | 0.005 | 0.164 | –99.4 % |
|  |  | 60 % | 0.005 | 0.216 | –99.5 % |
|  | truncate (end‑truncation) | 10 % | 0.795 | 0.103 | –18.1 % |
|  |  | 20 % | 0.701 | 0.203 | –27.8 % |
|  |  | 30 % | 0.526 | 0.303 | –45.8 % |
|  |  | 40 % | 0.349 | 0.403 | –64.1 % |
|  |  | 50 % | 0.170 | 0.504 | –82.5 % |
|  | removearticle (article removal) | 50 % | 0.910 | 0.053 | –6.2 % |
|  |  | 100 % | 0.444 | 0.105 | –54.3 % |
|  | randomtokenrep (word repetition) | 5 % | 0.761 | 0.053 | –21.6 % |
|  |  | 10 % | 0.186 | 0.103 | –80.8 % |
|  |  | 15 % | 0.032 | 0.153 | –96.7 % |
|  |  | 20 % | 0.011 | 0.202 | –98.9 % |
|  |  | 25 % | 0.007 | 0.252 | –99.2 % |
|  |  | 30 % | 0.006 | 0.353 | –99.4 % |
|  |  | 35 % | 0.006 | 0.402 | –99.4 % |
|  |  | 40 % | 0.005 | 0.453 | –99.5 % |
|  |  | 45 % | 0.005 | 0.501 | –99.5 % |
|  |  | 50 % | 0.005 | 0.501 | –99.5 % |
| mauve‑gpt2 | lemmatize (verb randomisation) | 0 % | 0.955 | 0.000 | 0.0 % |
|  |  | 50 % | 0.856 | 0.045 | –10.3 % |
|  |  | 100 % | 0.499 | 0.090 | –47.8 % |
|  | random‑word‑drop | 5 % | 0.626 | 0.053 | –34.5 % |
|  |  | 10 % | 0.267 | 0.103 | –72.0 % |
|  |  | 15 % | 0.098 | 0.153 | –89.7 % |
|  |  | 20 % | 0.048 | 0.202 | –95.0 % |
|  |  | 25 % | 0.027 | 0.252 | –97.1 % |
|  |  | 30 % | 0.019 | 0.303 | –98.0 % |
|  |  | 35 % | 0.014 | 0.353 | –98.6 % |
|  |  | 40 % | 0.011 | 0.402 | –98.9 % |
|  |  | 45 % | 0.010 | 0.453 | –98.9 % |
|  |  | 50 % | 0.009 | 0.501 | –99.1 % |
